Department,text,Subtype
Law Department (LAW),Urgent action needed on government pleader issue.,Government Pleader Issue
Social Welfare and Women Empowerment Department (SWNM),Report on widow pension.,Widow Pension
Tourism Culture and Religious Endowments Department (TOURCUL),Please look into this hotel registration matter.,Hotel Registration
Handlooms Handicrafts Textiles and Khadi Department (HHTK),Problem faced: yarn subsidy not received.,Yarn Subsidy Not Received
Water Resources Department (WRD),Report on water release for farming.,Water Release for Farming
Youth Welfare and Sports Development Department (YOUTHSP),My grievance is about sports scholarship.,Sports Scholarship
Information Technology Department (IT),Complaint against IT for server down / website crash.,Server Down / Website Crash
Home Prohibition and Excise Department (HOMEEXC),Cyber Crime Complaint issue,Cyber Crime Complaint
Industries Department (IND),Report on sipcot land allotment.,SIPCOT Land Allotment
Commercial Taxes and Registration Department (CTREG),Urgent action needed on encumbrance certificate error.,Encumbrance Certificate Error
Transport Department (TRANS),Please look into this conductor rude behavior matter.,Conductor Rude Behavior
Handlooms Handicrafts Textiles and Khadi Department (HHTK),Requesting help with yarn subsidy not received.,Yarn Subsidy Not Received
Adi Dravidar and Tribal Welfare Department (ADW),Report on atrocities on sc/st.,Atrocities on SC/ST
Information Technology Department (IT),Complaint regarding e-Sevai Centre Closed,e-Sevai Centre Closed
Law Department (LAW),Requesting help with law college admission.,Law College Admission
Environment Climate Change and Forests Department (ENVFOR),I have a complaint regarding plastic waste ban violation.,Plastic Waste Ban Violation
Water Resources Department (WRD),We are suffering due to river sand mining.,River Sand Mining
Adi Dravidar and Tribal Welfare Department (ADW),Urgent action needed on hostel facility - adw.,Hostel Facility - ADW
Adi Dravidar and Tribal Welfare Department (ADW),I have a complaint regarding free house site patta - adw.,Free House Site Patta - ADW
Human Resources Management Department (PAR),Service Register Entry Missing,Service Register Entry Missing
Public Works Department (PWD),Please look into this dam water release matter.,Dam Water Release
Law Department (LAW),Complaint against LAW for law college admission.,Law College Admission
Municipal Administration and Water Supply Department (MAWS),Requesting help with garbage not collected.,Garbage Not Collected
Health and Family Welfare Department (HEALTH),Doctor Absent in GH,Doctor Absent in GH
Municipal Administration and Water Supply Department (MAWS),Please look into this garbage not collected matter.,Garbage Not Collected
Law Department (LAW),Complaint against LAW for court case pending.,Court Case Pending
Energy Department (ENERGY),Report on high electricity bill.,High Electricity Bill
Legislative Assembly Department (LEGIS),"Issue with mla constituency fund, please resolve.",MLA Constituency Fund
Co-operation Food and Consumer Protection Department (FOODCO),Ration Shop Closed,Ration Shop Closed
Energy Department (ENERGY),New Connection Delay,New Connection Delay
Environment Climate Change and Forests Department (ENVFOR),Report on illegal tree cutting.,Illegal Tree Cutting
Labour Welfare and Skill Development Department (LBREMP),Complaint regarding Skill Training Application,Skill Training Application
Public Elections Department (ELECTION),We are suffering due to name missing in voter list.,Name Missing in Voter List
Environment Climate Change and Forests Department (ENVFOR),Requesting help with wild animal intrusion.,Wild Animal Intrusion
Public Department (PUBLIC),Requesting help with freedom fighter pension.,Freedom Fighter Pension
Information Technology Department (IT),Report on government email issue.,Government Email Issue
Housing and Urban Development Department (HUD),Complaint regarding Unapproved Layout Plot,Unapproved Layout Plot
Finance Department (FIN),Government Employee Salary Issue issue,Government Employee Salary Issue
Tourism Culture and Religious Endowments Department (TOURCUL),Report on hotel registration.,Hotel Registration
Handlooms Handicrafts Textiles and Khadi Department (HHTK),Requesting help with handicraft artisan loan.,Handicraft Artisan Loan
Home Prohibition and Excise Department (HOMEEXC),"Issue with prison inmate welfare, please resolve.",Prison Inmate Welfare
Co-operation Food and Consumer Protection Department (FOODCO),Ration Shop Closed issue,Ration Shop Closed
Finance Department (FIN),Please look into this retired employee benefits matter.,Retired Employee Benefits
Public Department (PUBLIC),Law and Order General issue,Law and Order General
Rural Development and Panchayat Raj Department (RDPR),Report on nrega wages pending.,NREGA Wages Pending
Agriculture and Farmers welfares Department (AGRI),My grievance is about fertilizer shortage.,Fertilizer Shortage
Revenue and Disaster Management Department (REV),Complaint against REV for cyclone relief not received.,Cyclone Relief Not Received
Adi Dravidar and Tribal Welfare Department (ADW),My grievance is about scholarship issue - adw.,Scholarship Issue - ADW
Water Resources Department (WRD),My grievance is about groundwater depletion.,Groundwater Depletion
Commercial Taxes and Registration Department (CTREG),My grievance is about tax refund delay.,Tax Refund Delay
Environment Climate Change and Forests Department (ENVFOR),Illegal Tree Cutting issue,Illegal Tree Cutting
Planning Development Department (PLGDEV),Complaint against PLGDEV for statistics data request.,Statistics Data Request
Energy Department (ENERGY),Complaint against ENERGY for new connection delay.,New Connection Delay
Welfare of Differently Abled Persons (DIFFABLE),We are suffering due to special school admission.,Special School Admission
Welfare of Differently Abled Persons (DIFFABLE),Report on tricycle/scooter request.,Tricycle/Scooter Request
Co-operation Food and Consumer Protection Department (FOODCO),Consumer Court Complaint,Consumer Court Complaint
Environment Climate Change and Forests Department (ENVFOR),Wild Animal Intrusion issue,Wild Animal Intrusion
Home Prohibition and Excise Department (HOMEEXC),We are suffering due to fir registration refusal.,FIR Registration Refusal
Handlooms Handicrafts Textiles and Khadi Department (HHTK),We are suffering due to powerloom electricity subsidy.,Powerloom Electricity Subsidy
Tourism Culture and Religious Endowments Department (TOURCUL),Requesting help with annadhanam quality.,Annadhanam Quality
Welfare of Differently Abled Persons (DIFFABLE),I have a complaint regarding special school admission.,Special School Admission
Welfare of Differently Abled Persons (DIFFABLE),Requesting help with tricycle/scooter request.,Tricycle/Scooter Request
Welfare of Differently Abled Persons (DIFFABLE),Urgent action needed on tricycle/scooter request.,Tricycle/Scooter Request
Agriculture and Farmers welfares Department (AGRI),Complaint regarding Pest Attack Support,Pest Attack Support
Municipal Administration and Water Supply Department (MAWS),We are suffering due to drainage blockage.,Drainage Blockage
Agriculture and Farmers welfares Department (AGRI),Requesting help with farm machinery subsidy.,Farm Machinery Subsidy
Home Prohibition and Excise Department (HOMEEXC),Complaint against HOMEEXC for fir registration refusal.,FIR Registration Refusal
Special Programme Implementation (SPI),Complaint against SPI for flagship project delay.,Flagship Project Delay
Rural Development and Panchayat Raj Department (RDPR),Complaint regarding Panchayat Tax Issue,Panchayat Tax Issue
Water Resources Department (WRD),River Sand Mining issue,River Sand Mining
Revenue and Disaster Management Department (REV),Cyclone Relief Not Received,Cyclone Relief Not Received
Environment Climate Change and Forests Department (ENVFOR),We are suffering due to plastic waste ban violation.,Plastic Waste Ban Violation
BC MBC and Minorities Welfare Department (BCMBC),Complaint against BCMBC for narikkuravar welfare board.,Narikkuravar Welfare Board
Human Resources Management Department (PAR),Requesting help with compassionate appointment delay.,Compassionate Appointment Delay
School Education Department (SCHOOL),I have a complaint regarding mid-day meal scheme.,Mid-day Meal Scheme
Tamil Dev. and Information Department (TAMINF),Complaint against TAMINF for tamil book publication.,Tamil Book Publication
Tamil Dev. and Information Department (TAMINF),Problem faced: tamil book publication.,Tamil Book Publication
Agriculture and Farmers welfares Department (AGRI),Urgent action needed on fertilizer shortage.,Fertilizer Shortage
Water Resources Department (WRD),Problem faced: water release for farming.,Water Release for Farming
School Education Department (SCHOOL),We are suffering due to school building dilapidated.,School Building Dilapidated
Adi Dravidar and Tribal Welfare Department (ADW),Problem faced: scholarship issue - adw.,Scholarship Issue - ADW
Adi Dravidar and Tribal Welfare Department (ADW),Urgent action needed on free house site patta - adw.,Free House Site Patta - ADW
BC MBC and Minorities Welfare Department (BCMBC),Scholarship - BC/MBC issue,Scholarship - BC/MBC
Revenue and Disaster Management Department (REV),Please look into this income/community certificate matter.,Income/Community Certificate
Energy Department (ENERGY),"Issue with transformer sparking/fire, please resolve.",Transformer Sparking/Fire
Micro Small and Medium Enterprises Department (MSME),Complaint against MSME for mudra loan rejection.,MUDRA Loan Rejection
Co-operation Food and Consumer Protection Department (FOODCO),Report on weight measurement fraud.,Weight Measurement Fraud
Public Works Department (PWD),Complaint regarding Govt Building Maintenance,Govt Building Maintenance
Social Welfare and Women Empowerment Department (SWNM),Urgent action needed on widow pension.,Widow Pension
Tamil Dev. and Information Department (TAMINF),Tamil Book Publication issue,Tamil Book Publication
Commercial Taxes and Registration Department (CTREG),My grievance is about guide value query.,Guide Value Query
Revenue and Disaster Management Department (REV),I have a complaint regarding income/community certificate.,Income/Community Certificate
Housing and Urban Development Department (HUD),We are suffering due to unapproved layout plot.,Unapproved Layout Plot
Social Welfare and Women Empowerment Department (SWNM),Urgent action needed on marriage assistance scheme.,Marriage Assistance Scheme
School Education Department (SCHOOL),School Building Dilapidated issue,School Building Dilapidated
Environment Climate Change and Forests Department (ENVFOR),"Issue with forest fire reporting, please resolve.",Forest Fire Reporting
Micro Small and Medium Enterprises Department (MSME),Please look into this udyam registration error matter.,Udyam Registration Error
Health and Family Welfare Department (HEALTH),Complaint against HEALTH for dengue/malaria outbreak.,Dengue/Malaria Outbreak
Youth Welfare and Sports Development Department (YOUTHSP),Complaint against YOUTHSP for sports scholarship.,Sports Scholarship
Home Prohibition and Excise Department (HOMEEXC),FIR Registration Refusal,FIR Registration Refusal
Youth Welfare and Sports Development Department (YOUTHSP),I have a complaint regarding stadium booking.,Stadium Booking
Highways and Minor Ports Department (HWY),We are suffering due to road signage missing.,Road Signage Missing
Tourism Culture and Religious Endowments Department (TOURCUL),"Issue with hotel registration, please resolve.",Hotel Registration
Public Elections Department (ELECTION),I have a complaint regarding voter id card not received.,Voter ID Card Not Received
Youth Welfare and Sports Development Department (YOUTHSP),Gym Equipment issue,Gym Equipment
Labour Welfare and Skill Development Department (LBREMP),Unfair Dismissal,Unfair Dismissal
Environment Climate Change and Forests Department (ENVFOR),We are suffering due to wild animal intrusion.,Wild Animal Intrusion
Public Department (PUBLIC),"Issue with ex-servicemen welfare, please resolve.",Ex-Servicemen Welfare
Municipal Administration and Water Supply Department (MAWS),Complaint against MAWS for pothole patchwork.,Pothole Patchwork
Health and Family Welfare Department (HEALTH),Urgent action needed on 108 ambulance delay.,108 Ambulance Delay
Public Works Department (PWD),Please look into this lake encroachment matter.,Lake Encroachment
Energy Department (ENERGY),No electricity / Power cut,Frequent Power Cuts
Rural Development and Panchayat Raj Department (RDPR),Panchayat Tax Issue issue,Panchayat Tax Issue
School Education Department (SCHOOL),Requesting help with school admission denied.,School Admission Denied
Adi Dravidar and Tribal Welfare Department (ADW),Please look into this hostel facility - adw matter.,Hostel Facility - ADW
Health and Family Welfare Department (HEALTH),We are suffering due to doctor absent in gh.,Doctor Absent in GH
Legislative Assembly Department (LEGIS),Urgent action needed on assembly proceedings query.,Assembly Proceedings Query
Public Elections Department (ELECTION),"Issue with candidate malpractice, please resolve.",Candidate Malpractice
Social Welfare and Women Empowerment Department (SWNM),Requesting help with domestic violence helpline.,Domestic Violence Helpline
Commercial Taxes and Registration Department (CTREG),My grievance is about encumbrance certificate error.,Encumbrance Certificate Error
Handlooms Handicrafts Textiles and Khadi Department (HHTK),Powerloom Electricity Subsidy issue,Powerloom Electricity Subsidy
Public Works Department (PWD),Problem faced: irrigation canal cleaning.,Irrigation Canal Cleaning
Animal Husbandry and Dairying and Fisheries and Fishermen Welfare Department (AHFISH),Requesting help with fishing ban relief.,Fishing Ban Relief
Municipal Administration and Water Supply Department (MAWS),We are suffering due to property tax issue.,Property Tax Issue
Housing and Urban Development Department (HUD),Slum Clearance Board Tenement issue,Slum Clearance Board Tenement
Information Technology Department (IT),e-Sevai Centre Closed,e-Sevai Centre Closed
Youth Welfare and Sports Development Department (YOUTHSP),Complaint regarding Stadium Booking,Stadium Booking
Revenue and Disaster Management Department (REV),Land Survey Request,Land Survey Request
Legislative Assembly Department (LEGIS),We are suffering due to petition to assembly committee.,Petition to Assembly Committee
Law Department (LAW),My grievance is about government pleader issue.,Government Pleader Issue
Industries Department (IND),My grievance is about industrial subsidy delay.,Industrial Subsidy Delay
Tourism Culture and Religious Endowments Department (TOURCUL),"Issue with heritage site protection, please resolve.",Heritage Site Protection
Highways and Minor Ports Department (HWY),Requesting help with road widening encroachment.,Road Widening Encroachment
Public Department (PUBLIC),Problem faced: freedom fighter pension.,Freedom Fighter Pension
Tourism Culture and Religious Endowments Department (TOURCUL),"Issue with annadhanam quality, please resolve.",Annadhanam Quality
Energy Department (ENERGY),Frequent Power Cuts,Frequent Power Cuts
Tourism Culture and Religious Endowments Department (TOURCUL),Annadhanam Quality,Annadhanam Quality
Planning Development Department (PLGDEV),Urgent action needed on district development plan.,District Development Plan
Rural Development and Panchayat Raj Department (RDPR),Urgent action needed on nrega wages pending.,NREGA Wages Pending
School Education Department (SCHOOL),I have a complaint regarding rte seat allotment.,RTE Seat Allotment
Highways and Minor Ports Department (HWY),Please look into this road signage missing matter.,Road Signage Missing
Environment Climate Change and Forests Department (ENVFOR),Forest Fire Reporting issue,Forest Fire Reporting
Housing and Urban Development Department (HUD),Unapproved Layout Plot,Unapproved Layout Plot
Animal Husbandry and Dairying and Fisheries and Fishermen Welfare Department (AHFISH),My grievance is about veterinary doctor unavailable.,Veterinary Doctor Unavailable
BC MBC and Minorities Welfare Department (BCMBC),Complaint regarding Free Tools Scheme,Free Tools Scheme
Labour Welfare and Skill Development Department (LBREMP),Problem faced: skill training application.,Skill Training Application
Animal Husbandry and Dairying and Fisheries and Fishermen Welfare Department (AHFISH),Boat Diesel Subsidy,Boat Diesel Subsidy
Co-operation Food and Consumer Protection Department (FOODCO),Urgent action needed on ration rice quality.,Ration Rice Quality
BC MBC and Minorities Welfare Department (BCMBC),"Issue with ulema pension scheme, please resolve.",Ulema Pension Scheme
Housing and Urban Development Department (HUD),Problem faced: tnhb allotment issue.,TNHB Allotment Issue
School Education Department (SCHOOL),School Building Dilapidated,School Building Dilapidated
Transport Department (TRANS),Complaint against TRANS for rto license delay.,RTO License Delay
Rural Development and Panchayat Raj Department (RDPR),Problem faced: panchayat tax issue.,Panchayat Tax Issue
Public Works Department (PWD),Please look into this pwd guest house booking matter.,PWD Guest House Booking
Home Prohibition and Excise Department (HOMEEXC),I have a complaint regarding cyber crime complaint.,Cyber Crime Complaint
Micro Small and Medium Enterprises Department (MSME),We are suffering due to msme subsidy delay.,MSME Subsidy Delay
Tamil Dev. and Information Department (TAMINF),My grievance is about government exhibition.,Government Exhibition
Water Resources Department (WRD),River Sand Mining,River Sand Mining
Tamil Dev. and Information Department (TAMINF),We are suffering due to tamil scholar pension.,Tamil Scholar Pension
Co-operation Food and Consumer Protection Department (FOODCO),Problem faced: ration rice quality.,Ration Rice Quality
Labour Welfare and Skill Development Department (LBREMP),Skill Training Application,Skill Training Application
Municipal Administration and Water Supply Department (MAWS),Road is broken in my street,Road Damage
Water Resources Department (WRD),Water Release for Farming issue,Water Release for Farming
Municipal Administration and Water Supply Department (MAWS),Street light is dark/broken,Street Light Not Working
Animal Husbandry and Dairying and Fisheries and Fishermen Welfare Department (AHFISH),Please look into this milk procurement price matter.,Milk Procurement Price
Micro Small and Medium Enterprises Department (MSME),My grievance is about udyam registration error.,Udyam Registration Error
Finance Department (FIN),Government Employee Salary Issue,Government Employee Salary Issue
Co-operation Food and Consumer Protection Department (FOODCO),My grievance is about ration shop closed.,Ration Shop Closed
Agriculture and Farmers welfares Department (AGRI),Pest Attack Support,Pest Attack Support
Tourism Culture and Religious Endowments Department (TOURCUL),Requesting help with tourist spot facilities.,Tourist Spot Facilities
Labour Welfare and Skill Development Department (LBREMP),Please look into this skill training application matter.,Skill Training Application
Municipal Administration and Water Supply Department (MAWS),Please look into this pothole patchwork matter.,Pothole Patchwork
Tourism Culture and Religious Endowments Department (TOURCUL),Complaint against TOURCUL for temple maintenance.,Temple Maintenance
Rural Development and Panchayat Raj Department (RDPR),Please look into this panchayat tax issue matter.,Panchayat Tax Issue
Animal Husbandry and Dairying and Fisheries and Fishermen Welfare Department (AHFISH),We are suffering due to cattle feed shortage.,Cattle Feed Shortage
Micro Small and Medium Enterprises Department (MSME),Industrial Shed Allotment,Industrial Shed Allotment
Law Department (LAW),"Issue with government pleader issue, please resolve.",Government Pleader Issue
Transport Department (TRANS),"Issue with rto license delay, please resolve.",RTO License Delay
Welfare of Differently Abled Persons (DIFFABLE),Requesting help with maintenance allowance.,Maintenance Allowance
Municipal Administration and Water Supply Department (MAWS),No water supply in my house,No Water Supply
Animal Husbandry and Dairying and Fisheries and Fishermen Welfare Department (AHFISH),Complaint regarding Milk Procurement Price,Milk Procurement Price
Municipal Administration and Water Supply Department (MAWS),I have a complaint regarding pothole patchwork.,Pothole Patchwork
Animal Husbandry and Dairying and Fisheries and Fishermen Welfare Department (AHFISH),Please look into this veterinary doctor unavailable matter.,Veterinary Doctor Unavailable
School Education Department (SCHOOL),Mid-day Meal Scheme issue,Mid-day Meal Scheme
Tamil Dev. and Information Department (TAMINF),Urgent action needed on tamil book publication.,Tamil Book Publication
Agriculture and Farmers welfares Department (AGRI),Complaint against AGRI for fertilizer shortage.,Fertilizer Shortage
Handlooms Handicrafts Textiles and Khadi Department (HHTK),My grievance is about weaver id card issue.,Weaver ID Card Issue
Planning Development Department (PLGDEV),Statistics Data Request,Statistics Data Request
Revenue and Disaster Management Department (REV),Report on income/community certificate.,Income/Community Certificate
Youth Welfare and Sports Development Department (YOUTHSP),Problem faced: sports scholarship.,Sports Scholarship
Youth Welfare and Sports Development Department (YOUTHSP),Stadium Booking,Stadium Booking
Law Department (LAW),Law College Admission,Law College Admission
Public Works Department (PWD),Complaint against PWD for pwd guest house booking.,PWD Guest House Booking
Labour Welfare and Skill Development Department (LBREMP),Minimum Wages Violation,Minimum Wages Violation
Home Prohibition and Excise Department (HOMEEXC),Complaint against HOMEEXC for police inaction.,Police Inaction
Public Elections Department (ELECTION),We are suffering due to polling booth complaint.,Polling Booth Complaint
School Education Department (SCHOOL),Mid-day Meal Scheme,Mid-day Meal Scheme
Rural Development and Panchayat Raj Department (RDPR),Village Water Tank Cleaning issue,Village Water Tank Cleaning
Adi Dravidar and Tribal Welfare Department (ADW),Report on free house site patta - adw.,Free House Site Patta - ADW
Industries Department (IND),Problem faced: industrial safety violation.,Industrial Safety Violation
Handlooms Handicrafts Textiles and Khadi Department (HHTK),Problem faced: weaver id card issue.,Weaver ID Card Issue
School Education Department (SCHOOL),Problem faced: rte seat allotment.,RTE Seat Allotment
Revenue and Disaster Management Department (REV),Complaint regarding Old Age Pension (OAP),Old Age Pension (OAP)
Co-operation Food and Consumer Protection Department (FOODCO),Weight Measurement Fraud issue,Weight Measurement Fraud
Tamil Dev. and Information Department (TAMINF),Complaint against TAMINF for memorial maintenance.,Memorial Maintenance
Agriculture and Farmers welfares Department (AGRI),Farm Machinery Subsidy issue,Farm Machinery Subsidy
School Education Department (SCHOOL),Please look into this rte seat allotment matter.,RTE Seat Allotment
Health and Family Welfare Department (HEALTH),Problem faced: doctor absent in gh.,Doctor Absent in GH
Social Welfare and Women Empowerment Department (SWNM),Domestic Violence Helpline,Domestic Violence Helpline
Finance Department (FIN),Urgent action needed on treasury bill pending.,Treasury Bill Pending
Commercial Taxes and Registration Department (CTREG),Tax Refund Delay issue,Tax Refund Delay
Agriculture and Farmers welfares Department (AGRI),We are suffering due to seed quality issue.,Seed Quality Issue
Public Elections Department (ELECTION),Urgent action needed on candidate malpractice.,Candidate Malpractice
Energy Department (ENERGY),Report on new connection delay.,New Connection Delay
Law Department (LAW),I have a complaint regarding law college admission.,Law College Admission
Co-operation Food and Consumer Protection Department (FOODCO),Complaint regarding Co-operative Loan Issue,Co-operative Loan Issue
Health and Family Welfare Department (HEALTH),Report on 108 ambulance delay.,108 Ambulance Delay
Welfare of Differently Abled Persons (DIFFABLE),Complaint regarding Accessibility in Public Buildings,Accessibility in Public Buildings
Public Elections Department (ELECTION),Please look into this polling booth complaint matter.,Polling Booth Complaint
Labour Welfare and Skill Development Department (LBREMP),Problem faced: construction workers board.,Construction Workers Board
Public Elections Department (ELECTION),Please look into this voter id card not received matter.,Voter ID Card Not Received
Human Resources Management Department (PAR),Complaint against PAR for disciplinary action appeal.,Disciplinary Action Appeal
Tamil Dev. and Information Department (TAMINF),Report on tamil scholar pension.,Tamil Scholar Pension
Highways and Minor Ports Department (HWY),My grievance is about bridge construction delay.,Bridge Construction Delay
Welfare of Differently Abled Persons (DIFFABLE),Complaint against DIFFABLE for disability id card.,Disability ID Card
Municipal Administration and Water Supply Department (MAWS),Urgent action needed on road damage.,Road Damage
Law Department (LAW),I have a complaint regarding notary public complaint.,Notary Public Complaint
Tamil Dev. and Information Department (TAMINF),Tamil Scholar Pension,Tamil Scholar Pension
Higher Education Department (HIGHEDU),College Infrastructure,College Infrastructure
Tourism Culture and Religious Endowments Department (TOURCUL),Problem faced: hotel registration.,Hotel Registration
Special Programme Implementation (SPI),Scheme Monitoring issue,Scheme Monitoring
Welfare of Differently Abled Persons (DIFFABLE),Maintenance Allowance,Maintenance Allowance
Youth Welfare and Sports Development Department (YOUTHSP),Please look into this sports kit request matter.,Sports Kit Request
Co-operation Food and Consumer Protection Department (FOODCO),My grievance is about consumer court complaint.,Consumer Court Complaint
Finance Department (FIN),Urgent action needed on government employee salary issue.,Government Employee Salary Issue
Health and Family Welfare Department (HEALTH),My grievance is about 108 ambulance delay.,108 Ambulance Delay
Agriculture and Farmers welfares Department (AGRI),Problem faced: pest attack support.,Pest Attack Support
Information Technology Department (IT),Problem faced: it park facilities.,IT Park Facilities
Youth Welfare and Sports Development Department (YOUTHSP),Please look into this sports scholarship matter.,Sports Scholarship
Information Technology Department (IT),We are suffering due to e-sevai centre closed.,e-Sevai Centre Closed
Welfare of Differently Abled Persons (DIFFABLE),My grievance is about tricycle/scooter request.,Tricycle/Scooter Request
Energy Department (ENERGY),Complaint against ENERGY for transformer sparking/fire.,Transformer Sparking/Fire
Water Resources Department (WRD),My grievance is about river sand mining.,River Sand Mining
Home Prohibition and Excise Department (HOMEEXC),Complaint regarding Illicit Liquor Sale,Illicit Liquor Sale
Finance Department (FIN),Requesting help with pension disbursement delay.,Pension Disbursement Delay
Environment Climate Change and Forests Department (ENVFOR),My grievance is about wild animal intrusion.,Wild Animal Intrusion
Transport Department (TRANS),Urgent action needed on rto license delay.,RTO License Delay
Commercial Taxes and Registration Department (CTREG),Problem faced: tax refund delay.,Tax Refund Delay
Public Works Department (PWD),Requesting help with irrigation canal cleaning.,Irrigation Canal Cleaning
BC MBC and Minorities Welfare Department (BCMBC),Problem faced: hostel food quality.,Hostel Food Quality
Information Technology Department (IT),Problem faced: government email issue.,Government Email Issue
Industries Department (IND),Urgent action needed on sipcot land allotment.,SIPCOT Land Allotment
Human Resources Management Department (PAR),Transfer/Posting Request issue,Transfer/Posting Request
Adi Dravidar and Tribal Welfare Department (ADW),Complaint against ADW for community certificate delay.,Community Certificate Delay
Youth Welfare and Sports Development Department (YOUTHSP),Report on gym equipment.,Gym Equipment
Special Programme Implementation (SPI),Problem faced: flagship project delay.,Flagship Project Delay
Finance Department (FIN),Report on retired employee benefits.,Retired Employee Benefits
Higher Education Department (HIGHEDU),Report on professor vacancy.,Professor Vacancy
Environment Climate Change and Forests Department (ENVFOR),Complaint regarding Wild Animal Intrusion,Wild Animal Intrusion
Finance Department (FIN),We are suffering due to treasury bill pending.,Treasury Bill Pending
Highways and Minor Ports Department (HWY),Road Widening Encroachment,Road Widening Encroachment
Public Works Department (PWD),I have a complaint regarding pwd guest house booking.,PWD Guest House Booking
Adi Dravidar and Tribal Welfare Department (ADW),My grievance is about hostel facility - adw.,Hostel Facility - ADW
Handlooms Handicrafts Textiles and Khadi Department (HHTK),My grievance is about handicraft artisan loan.,Handicraft Artisan Loan
Higher Education Department (HIGHEDU),Complaint against HIGHEDU for university exam results.,University Exam Results
Social Welfare and Women Empowerment Department (SWNM),"Issue with marriage assistance scheme, please resolve.",Marriage Assistance Scheme
Transport Department (TRANS),My grievance is about overcrowding in bus.,Overcrowding in Bus
Commercial Taxes and Registration Department (CTREG),Encumbrance Certificate Error,Encumbrance Certificate Error
Legislative Assembly Department (LEGIS),I have a complaint regarding mla constituency fund.,MLA Constituency Fund
Labour Welfare and Skill Development Department (LBREMP),Report on skill training application.,Skill Training Application
Municipal Administration and Water Supply Department (MAWS),"Issue with no water supply, please resolve.",No Water Supply
Welfare of Differently Abled Persons (DIFFABLE),Complaint regarding Maintenance Allowance,Maintenance Allowance
School Education Department (SCHOOL),We are suffering due to teacher absenteeism.,Teacher Absenteeism
Higher Education Department (HIGHEDU),Complaint against HIGHEDU for college infrastructure.,College Infrastructure
Animal Husbandry and Dairying and Fisheries and Fishermen Welfare Department (AHFISH),Cattle Feed Shortage,Cattle Feed Shortage
Rural Development and Panchayat Raj Department (RDPR),Report on panchayat tax issue.,Panchayat Tax Issue
Law Department (LAW),Report on court case pending.,Court Case Pending
Human Resources Management Department (PAR),We are suffering due to compassionate appointment delay.,Compassionate Appointment Delay
Energy Department (ENERGY),Urgent action needed on high electricity bill.,High Electricity Bill
Industries Department (IND),My grievance is about sipcot land allotment.,SIPCOT Land Allotment
Tourism Culture and Religious Endowments Department (TOURCUL),I have a complaint regarding tourist spot facilities.,Tourist Spot Facilities
Public Works Department (PWD),Complaint regarding Dam Water Release,Dam Water Release
Revenue and Disaster Management Department (REV),Problem faced: income/community certificate.,Income/Community Certificate
Health and Family Welfare Department (HEALTH),"Issue with sanitation in hospital, please resolve.",Sanitation in Hospital
Municipal Administration and Water Supply Department (MAWS),Complaint regarding Road Damage,Road Damage
Welfare of Differently Abled Persons (DIFFABLE),Problem faced: maintenance allowance.,Maintenance Allowance
Public Works Department (PWD),Urgent action needed on irrigation canal cleaning.,Irrigation Canal Cleaning
Human Resources Management Department (PAR),Disciplinary Action Appeal issue,Disciplinary Action Appeal
Energy Department (ENERGY),Requesting help with frequent power cuts.,Frequent Power Cuts
Labour Welfare and Skill Development Department (LBREMP),Complaint regarding Minimum Wages Violation,Minimum Wages Violation
Highways and Minor Ports Department (HWY),Please look into this bridge construction delay matter.,Bridge Construction Delay
Environment Climate Change and Forests Department (ENVFOR),Requesting help with illegal tree cutting.,Illegal Tree Cutting
Information Technology Department (IT),"Issue with government email issue, please resolve.",Government Email Issue
Tourism Culture and Religious Endowments Department (TOURCUL),Tourist Spot Facilities issue,Tourist Spot Facilities
Public Works Department (PWD),Urgent action needed on govt building maintenance.,Govt Building Maintenance
Health and Family Welfare Department (HEALTH),Hospital is very dirty,Sanitation in Hospital
Environment Climate Change and Forests Department (ENVFOR),Report on wild animal intrusion.,Wild Animal Intrusion
Police Department,Theft in my house,FIR Registration Refusal
Revenue and Disaster Management Department (REV),My grievance is about old age pension (oap).,Old Age Pension (OAP)
Housing and Urban Development Department (HUD),Please look into this rental dispute matter.,Rental Dispute
Human Resources Management Department (PAR),Report on transfer/posting request.,Transfer/Posting Request
Municipal Administration and Water Supply Department (MAWS),Pothole Patchwork,Pothole Patchwork
Handlooms Handicrafts Textiles and Khadi Department (HHTK),Report on weaver id card issue.,Weaver ID Card Issue
Environment Climate Change and Forests Department (ENVFOR),We are suffering due to illegal tree cutting.,Illegal Tree Cutting
Legislative Assembly Department (LEGIS),"Issue with mla office not open, please resolve.",MLA Office Not Open
Highways and Minor Ports Department (HWY),Report on state highway potholes.,State Highway Potholes
Housing and Urban Development Department (HUD),Complaint against HUD for dtcp approval delay.,DTCP Approval Delay
Energy Department (ENERGY),Problem faced: high electricity bill.,High Electricity Bill
Planning Development Department (PLGDEV),Report on district development plan.,District Development Plan
Higher Education Department (HIGHEDU),Report on college infrastructure.,College Infrastructure
Water Resources Department (WRD),My grievance is about water release for farming.,Water Release for Farming
Human Resources Management Department (PAR),Govt Job Recruitment Scam,Govt Job Recruitment Scam
Municipal Administration and Water Supply Department (MAWS),Problem faced: garbage not collected.,Garbage Not Collected
Transport Department (TRANS),Report on conductor rude behavior.,Conductor Rude Behavior
Legislative Assembly Department (LEGIS),Requesting help with mla constituency fund.,MLA Constituency Fund
